@CO	shape:(13100, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
-3.6376457401843254e-13	-28.64217795427197
-1.920329726290415e-05	-10.860438186095859
-3.6376457401843254e-13	-28.64217795427197
-3.893518563113929e-09	-19.363901719659207
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.642177954270394
-2.870042033753517e-06	-12.761185181091353
-4.1561198926842735e-13	-28.50871173521504
-8.501971349161863e-11	-23.188374647492697
-5.304634120850693e-09	-19.054748306742326
-6.454445405923437e-08	-16.55590425962334
-2.499568563796295e-07	-15.20197657193139
-8.676351026526419e-09	-18.562684175130777
-1.9688526919914295e-09	-20.04568903683498
-8.627350983614335e-08	-16.265750431940663
-5.41768213624394e-09	-19.03350526351744
-3.5518697004133237e-06	-12.548038237634536
-1.913413871790226e-12	-26.98185799683954
-1.8573760079410029e-06	-13.196346824116333
-3.6376457401843254e-13	-28.64217723628947
-1.552033501717176e-10	-22.589178043767284
-1.9777502319184848e-07	-15.436135413904086
-2.2834283908146347e-09	-19.897539832023234
-1.1052523618548804e-08	-18.32065680644751
-1.969418159197822e-05	-10.835197190556169
-3.6376457401843254e-13	-28.64217795427197
-5.35388836209183e-07	-14.440273268574192
-1.0951547621540492e-06	-13.72461553819656
-9.670989925547602e-08	-16.151551189605875
-1.7012248548775588e-07	-15.586747531191962
-2.9831926878776116e-07	-15.025103506050066
-9.541741624041755e-07	-13.86241959140528
-2.9574407756083332e-08	-17.336343285998673
-1.4495360901034537e-06	-13.444267590352652
-1.9794127951722196e-06	-13.132711501710283
-3.605210019408389e-10	-21.745680222972773
-1.3083256700241463e-11	-25.123698579400966
-1.0998049916610686e-05	-11.417798129156923
-3.6376457401843254e-13	-28.642177954269496
-8.022968042697975e-07	-14.035786826488739
-1.8669641380086865e-06	-13.191197470060333
-1.5920010239534044e-06	-13.350519323818883
-1.2544822389215504e-06	-13.588788534614084
-3.2374872847573677e-06	-12.640714669661094
-1.5021018318073232e-09	-20.31640836078058
-1.5419500247193518e-06	-13.38246328849531
-1.5218998450361454e-08	-18.000736857681904
-4.1505853903833767e-07	-14.694847602305844
-5.20877405596476e-07	-14.467752313366704
-2.664187327972023e-07	-15.138194161823545
-3.4653275809981565e-07	-14.875288697243862
-1.6891820614484132e-07	-15.593848885202855
-7.494110887407146e-11	-23.3209175886859
-3.781022217541619e-09	-19.393207042462677
-3.6376457401843254e-13	-28.642177954271826
-2.4539814624802148e-12	-26.957769655121883
-2.8719620570605287e-09	-19.66820776114732
-3.6376457401843254e-13	-28.64217795427197
-2.708436049325691e-07	-15.121725974686964
-5.370346834454587e-06	-12.134620796688436
-3.6376457401843254e-13	-28.64217795427197
-1.5003548903269603e-08	-18.014996655246684
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.642116525287665
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.64217795427197
-4.222520666452567e-10	-21.58714452087311
-4.821136851962393e-07	-14.54508601659048
-1.1250500531190255e-11	-25.16048568032829
-4.6021798250084345e-07	-14.591566611206504
-5.79227327601739e-07	-14.36157131380724
-8.153057661774987e-07	-14.019703751414946
-3.2849916960508985e-06	-12.626148051003318
-5.498035915429966e-10	-21.3225923527134
-7.322219413574693e-07	-14.127183347756143
-4.185414771984419e-07	-14.686491001893065
-8.139005338025918e-07	-14.02142822504091
-2.026428176760131e-06	-13.109236960465713
-4.81739645896706e-07	-14.545861935713472
-3.552352573765738e-07	-14.850484621535191
-5.532938690544498e-08	-16.709974656843546
-7.851304522632496e-07	-14.057415895063071
-1.8863143075864564e-06	-13.180887094134881
-5.673937756855985e-07	-14.382213766529862
-1.1557975132525655e-09	-20.57896689287629
-3.1760505370126424e-07	-14.96245870703609
-3.4923982417112143e-07	-14.867506909611787
-4.1342710360714463e-07	-14.698782869691454
-7.61316843789217e-07	-14.088216021942245
-8.556843046902962e-07	-13.971364921958893
-6.045113464803187e-07	-14.318846572174293
-9.774144301144538e-07	-13.838355107725958
-1.034950490474973e-06	-13.781156897036842
-7.312761512445753e-07	-14.128475714043892
-9.3481733737244e-07	-13.882914713076362
-7.740995220661961e-06	-11.768984068208512
-9.600820138899735e-12	-25.36742811934876
-3.5041935680935055e-07	-14.864136997606183
-1.501926666369613e-08	-18.013948922286964
-9.763200803369898e-10	-20.746600902049682
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.64161012083782
-3.6376457401843254e-13	-28.64217795427197
-3.662070646726079e-13	-28.63445236162147
-7.054064483091871e-07	-14.164491509010464
-5.7681082132887695e-12	-25.861380865623463
-7.376599331365696e-12	-25.537425461489917
-1.7173352994670488e-06	-13.274737238324898
-3.6376457401843254e-13	-28.642177912989485
-3.670689324719589e-08	-17.120310406872925
-3.963787344463121e-07	-14.740894633238412
-3.6376457401843254e-13	-28.64217795427197
-5.5118875408322054e-08	-16.71376054574613
-1.1815021400130021e-07	-15.951306484390093
-2.9208346680187347e-07	-15.04622489294074
-2.926626238963781e-06	-12.741661840957121
-7.02755076353867e-11	-23.382817705093284
-9.687346202991165e-09	-18.4524449599454
-4.834166306144638e-08	-16.844965129982583
-4.8425541354646384e-11	-23.732948277757167
-6.509792704889605e-13	-27.27886243021174
-3.6376457401843254e-13	-28.64217795427197
-7.924829764638375e-08	-16.35067957158452
-2.9424930841903674e-07	-15.038840398063442
-3.6376457401843254e-13	-28.64217795427197
-6.517244860448912e-08	-16.54623699956845
-1.9661179435082055e-06	-13.139450298597419
-9.86243864353753e-11	-23.035211784640886
-6.183947798277245e-11	-23.510092029033263
-3.6376457401843254e-13	-28.64217795427197
-3.7730461271978655e-07	-14.790213500814774
-1.2880904978751495e-06	-13.562350504707501
-8.725632161254993e-09	-18.557005501274315
-4.884008325545253e-07	-14.53212852209481
-2.8447877942205935e-09	-19.6776913248982
-2.7819856817656863e-06	-12.792346777151677
-3.6376457401843254e-13	-28.642177954261232
-7.530476242578743e-12	-25.66627056906614
-4.380787738844649e-06	-12.338284073160501
-3.6376457401843254e-13	-28.64217795427197
-1.0733594740797159e-07	-16.04729747886667
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.64217795427197
-4.2718351161985524e-07	-14.666051816634758
-1.341152348011132e-06	-13.521982297845506
-3.8341536467978443e-07	-14.77414617018469
-2.713063768811086e-06	-12.817433587204796
-5.371958866851045e-06	-12.134320621344557
-4.600314931324512e-05	-9.986823698587171
-3.6376457401843254e-13	-28.64217795427197
-5.334066521811565e-13	-28.014757111372482
-5.6920634872170695e-11	-23.57905842904462
-1.611632759829229e-05	-11.035685725271119
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.64217795427197
-3.6376457401843254e-13	-28.64217795427197
-4.482058668653366e-09	-19.223187828023555
-3.6387559632089506e-13	-28.639819401507538
-3.7997383017795983e-13	-28.58994162236414
-1.0433738611981269e-07	-16.075641064496338
-9.443988369106648e-10	-20.78080268952993
-2.3461401127411463e-07	-15.265321681560232
-4.5886357052937754e-07	-14.594512411175009
-1.189727337924662e-06	-13.641787534699075
-7.902721935404422e-06	-11.74830723022105
-3.6398661862335757e-13	-28.641588979097694
-1.0647321666001908e-06	-13.752788193149094
-1.7908731479443496e-06	-13.232808011993827
-1.347941077034509e-06	-13.516932655551809
-3.732811437506811e-06	-12.498350751039494
-6.413321201881317e-08	-16.56229630716794
-1.0896450408637293e-11	-25.223542488883005
-1.539955385432279e-10	-22.59864995077239
-1.0304014438355935e-06	-13.785562750279313
-3.7415722625722125e-07	-14.798591777991641
-1.1598411721047697e-06	-13.667228539589386
-1.7753640224604794e-09	-20.149531364620568
-3.9443663973903753e-07	-14.745806370943251
-6.468889682254009e-07	-14.25109167802194
-2.2328487311318312e-06	-13.012233308896342
-2.853060804330898e-06	-12.767119683362194
-1.1189993376348184e-11	-25.20411979751188
-1.1078668729069818e-06	-13.71307498162766
-5.642473457911912e-07	-14.387773128332325
-2.378255977097954e-06	-12.949144224062705
-2.288065126254679e-09	-19.895481904825925
-2.8105372751330293e-08	-17.387306250563952
-1.4304543140553072e-06	-13.457518841380395
-3.2631586988629557e-06	-12.632816430558265
-7.051916485756315e-07	-14.164796850157181
-9.462375327728978e-12	-25.374658784614358
-6.216754888654918e-11	-23.494091813966953
-2.5282633083767436e-06	-12.8879792942848
-1.628099821626705e-09	-20.23618439280342
-3.6376457401843254e-13	-28.64217795427197
-8.036893502372244e-07	-14.03405383493468
-8.438765892737621e-07	-13.985260143617039
-5.246619567134125e-07	-14.460511992408637
-1.7262282546171015e-06	-13.269572597879085
-1.8954021685502198e-10	-22.384009706225775
-9.041151684541227e-07	-13.916309987475165
-7.365450860330469e-09	-18.72649107583398
-3.4068683374410824e-08	-17.19489171758868
-1.0011298320899975e-06	-13.814381939649437
-1.5376896589924804e-06	-13.385230023344064
-2.1792714775537014e-06	-13.036521085198475
-1.2722169547285667e-06	-13.574750517084048
